Item_Id,Retailer_Id,Walmart_Url,Comp_Url,Match_Type,Match_Type_Comments,Notes,Super_Department,Department,Product_Type
"""116564186""","""B0BR74PXLX""",https://www.walmart.com/ip/116564186?selected=true,https://www.amazon.com/dp/B0BR74PXLX?psc=1&th=1&vs=1,Not Sure,Info not sufficient in competitor page,Model,Clothing,Kids Clothing,Baby Clothes
"""9193576""","""B07N8HZWQ9""",https://www.walmart.com/ip/9193576?selected=true,https://www.amazon.com/dp/B07N8HZWQ9?psc=1&th=1&vs=1,Incorrect Match,((bra stripes Model)_is different in Both)_is different in Both,Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""9193576""","""B09HCMDLYX""",https://www.walmart.com/ip/9193576?selected=true,https://www.amazon.com/dp/B09HCMDLYX?psc=1&th=1&vs=1,Incorrect Match,In WM_(designed bra) & in Comp_(plain bra),Design and Color,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""9193577""","""B0F6CVW314""",https://www.walmart.com/ip/9193577?selected=true,https://www.amazon.com/dp/B0F6CVW314?psc=1&th=1&vs=1,Incorrect Match,In WM_(lace model) & in Comp_(lace strap model),Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""9193577""","""B09HCLZMHR""",https://www.walmart.com/ip/9193577?selected=true,https://www.amazon.com/dp/B09HCLZMHR?psc=1&th=1&vs=1,Incorrect Match,Others_(In WM_(Light Lined Push-Up Bra) & in Comp_(Full Coverage Padded)),Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""9193620""","""B0F6CVFK57""",https://www.walmart.com/ip/9193620?selected=true,https://www.amazon.com/dp/B0F6CVFK57?psc=1&th=1&vs=1,Incorrect Match,In WM_(cnter bow) & in Comp_(plain),Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""56081383""","""B0913Z3R7H""",https://www.walmart.com/ip/56081383?selected=true,https://www.amazon.com/dp/B0913Z3R7H?psc=1&th=1&vs=1,Incorrect Match,Product attributes are same except Brand,Brand,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""116564186""","""B0BG66SN5J""",https://www.walmart.com/ip/116564186?selected=true,https://www.amazon.com/dp/B0BG66SN5J?psc=1&th=1&vs=1,Incorrect Match,Others_(In comp(color strips) & in wm(White plain)),Design,Clothing,Kids Clothing,Baby Clothes
"""126156759""","""B0DNJTL5XG""",https://www.walmart.com/ip/126156759?selected=true,https://www.amazon.com/dp/B0DNJTL5XG?psc=1&th=1&vs=1,Incorrect Match,In WM_(Graphic) & in Comp_(Tiger),Design,Clothing,Kids Clothing,Baby Clothes
"""126156759""","""B0F9NMJRZM""",https://www.walmart.com/ip/126156759?selected=true,https://www.amazon.com/dp/B0F9NMJRZM?psc=1&th=1&vs=1,Incorrect Match,(Bodysuit model is different in both)_is different in Both,Design and Color|Model,Clothing,Kids Clothing,Baby Clothes
"""21346098""","""B08J93C7VR""",https://www.walmart.com/ip/21346098?selected=true,https://www.amazon.com/dp/B08J93C7VR?psc=1&th=1&vs=1,Incorrect Match,Others_((Sweatpant pocket & Cargo Fleece Sweatpants model is diff)_is different in Both),Model,Clothing,Mens Clothing,Mens Workout Clothing
"""688856198""","""B0FDRZ2ZS9""",https://www.walmart.com/ip/688856198?selected=true,https://www.amazon.com/dp/B0FDRZ2ZS9?psc=1&th=1&vs=1,Incorrect Match,In WM_(Top Tights) & in Comp_(Opaque Footless Tights),Model,Clothing,Womens Clothing,"Womens Socks, Hosiery & Tights"
"""5925850188""","""B09R179TY5""",https://www.walmart.com/ip/5925850188?selected=true,https://www.amazon.com/dp/B09R179TY5?psc=1&th=1&vs=1,Incorrect Match,(side pocket)_is different in Both,Model,Clothing,Scrubs,Scrubs
"""5925850188""","""B09R16XJZ8""",https://www.walmart.com/ip/5925850188?selected=true,https://www.amazon.com/dp/B09R16XJZ8?psc=1&th=1&vs=1,Incorrect Match,Others_((side pocket & Classic Fit V-Neck Short )_is different in Both),Model,Clothing,Scrubs,Scrubs
"""5927769576""","""B00CAJOZ5U""",https://www.walmart.com/ip/5927769576?selected=true,https://www.amazon.com/dp/B00CAJOZ5U?psc=1&th=1&vs=1,Incorrect Match,(leg model)_is different in Both,Model,Clothing,Scrubs,Scrubs
"""5927819467""","""B09R17CV4V""",https://www.walmart.com/ip/5927819467?selected=true,https://www.amazon.com/dp/B09R17CV4V?psc=1&th=1&vs=1,Incorrect Match,In WM_(2 pocket) & in Comp_(1 pocket),Model,Clothing,Scrubs,Scrubs
"""5927819467""","""B09R17LD2V""",https://www.walmart.com/ip/5927819467?selected=true,https://www.amazon.com/dp/B09R17LD2V?psc=1&th=1&vs=1,Incorrect Match,In WM_(three pockets) & in Comp_(single pocket),Model,Clothing,Scrubs,Scrubs
"""5927819467""","""B09R16L3QZ""",https://www.walmart.com/ip/5927819467?selected=true,https://www.amazon.com/dp/B09R16L3QZ?psc=1&th=1&vs=1,Incorrect Match,In WM_(2 pocket) & in Comp_(front pocket),Model,Clothing,Scrubs,Scrubs
"""5927819467""","""B097RRWTGN""",https://www.walmart.com/ip/5927819467?selected=true,https://www.amazon.com/dp/B097RRWTGN?psc=1&th=1&vs=1,Incorrect Match,In WM_(V-Neck Shirt) & in Comp_(V-Neck Scrub Top with POCKET),Model,Clothing,Scrubs,Scrubs
"""5927819467""","""B09R18BZVC""",https://www.walmart.com/ip/5927819467?selected=true,https://www.amazon.com/dp/B09R18BZVC?psc=1&th=1&vs=1,Incorrect Match,Others_(In WM_(front pocket) & in Comp_(no front pocket)),Model,Clothing,Scrubs,Scrubs
"""5927819469""","""B09R17TNH7""",https://www.walmart.com/ip/5927819469?selected=true,https://www.amazon.com/dp/B09R17TNH7?psc=1&th=1&vs=1,Incorrect Match,((pocket shape)_is different in Both)_is different in Both,Model,Clothing,Scrubs,Scrubs
"""5930068691""","""B0BHTDY7CZ""",https://www.walmart.com/ip/5930068691?selected=true,https://www.amazon.com/dp/B0BHTDY7CZ?psc=1&th=1&vs=1,Incorrect Match,(Drawstring Jogger)_is different in Both,Model,Clothing,Scrubs,Scrubs
"""157352971""","""B07ZG7DVJG""",https://www.walmart.com/ip/157352971?selected=true,https://www.amazon.com/dp/B07ZG7DVJG?psc=1&th=1&vs=1,Incorrect Match,In WM_(Maternity) & in Comp_(Skinny Jeans),Model,Clothing,Fashion Brands,Sofia Vergara Collection
"""157352971""","""B07ZG74WPV""",https://www.walmart.com/ip/157352971?selected=true,https://www.amazon.com/dp/B07ZG74WPV?psc=1&th=1&vs=1,Incorrect Match,"(wm- Maternity Jeans, amz- Curvy Skinny Jeans)_is different in Both",Model,Clothing,Fashion Brands,Sofia Vergara Collection
"""157352971""","""B07ZG7HVX3""",https://www.walmart.com/ip/157352971?selected=true,https://www.amazon.com/dp/B07ZG7HVX3?psc=1&th=1&vs=1,Incorrect Match,In WM_(without pocket) & in Comp_(with pocket),Model,Clothing,Fashion Brands,Sofia Vergara Collection
"""157352971""","""B07ZG72T3R""",https://www.walmart.com/ip/157352971?selected=true,https://www.amazon.com/dp/B07ZG72T3R?psc=1&th=1&vs=1,Incorrect Match,"Others_((wm Maternity Jeans, amz Curvy Skinny Jeans)_is different in Both)",Model,Clothing,Fashion Brands,Sofia Vergara Collection
"""157352971""","""B07ZG7JRJ1""",https://www.walmart.com/ip/157352971?selected=true,https://www.amazon.com/dp/B07ZG7JRJ1?psc=1&th=1&vs=1,Incorrect Match,In WM_(Maternity Jeans) & in Comp_(Curvy Skinny Jeans),Model,Clothing,Fashion Brands,Sofia Vergara Collection
"""157352971""","""B07ZG79PTF""",https://www.walmart.com/ip/157352971?selected=true,https://www.amazon.com/dp/B07ZG79PTF?psc=1&th=1&vs=1,Incorrect Match,In WM_((Curvy Ankle Full Band Maternity Jeans)_is different in Both) & in Comp_(( Mid Rise Curvy Skinny Jeans)_is different in Both),Model,Clothing,Fashion Brands,Sofia Vergara Collection
"""179074810""","""B07ZG7M5Z1""",https://www.walmart.com/ip/179074810?selected=true,https://www.amazon.com/dp/B07ZG7M5Z1?psc=1&th=1&vs=1,Incorrect Match,In WM_(band Maternity jeans) & in Comp_(skinny jeans),Model,Clothing,Fashion Brands,Sofia Vergara Collection
"""179074810""","""B07ZG7HVX7""",https://www.walmart.com/ip/179074810?selected=true,https://www.amazon.com/dp/B07ZG7HVX7?psc=1&th=1&vs=1,Incorrect Match,(wm Maternity Jeans mddel and amazon Skinny Jeans model)_is different in Both,Model,Clothing,Fashion Brands,Sofia Vergara Collection
"""179074810""","""B07ZG7HVS6""",https://www.walmart.com/ip/179074810?selected=true,https://www.amazon.com/dp/B07ZG7HVS6?psc=1&th=1&vs=1,Incorrect Match,In WM_(Vergara pocket) & in Comp_(five-pocket),Model,Clothing,Fashion Brands,Sofia Vergara Collection
"""179074810""","""B07ZG71PL6""",https://www.walmart.com/ip/179074810?selected=true,https://www.amazon.com/dp/B07ZG71PL6?psc=1&th=1&vs=1,Incorrect Match,In WM_(without pocket) & in Comp_(back side with pocket),Model,Clothing,Fashion Brands,Sofia Vergara Collection
"""115687091""","""B0D95C8KSR""",https://www.walmart.com/ip/115687091?selected=true,https://www.amazon.com/dp/B0D95C8KSR?psc=1&th=1&vs=1,Incorrect Match,In WM_(Slim Denim Jean) & in Comp_(Stretch Denim Cargo Jean),Model,Clothing,Kids Clothing,Boys Clothing
"""115687091""","""B09TVGFFWC""",https://www.walmart.com/ip/115687091?selected=true,https://www.amazon.com/dp/B09TVGFFWC?psc=1&th=1&vs=1,Incorrect Match,"Others_((Boy Slim Denim Jean, & Pull-On Jean Joggers)_is different in Both)",Model,Clothing,Kids Clothing,Boys Clothing
"""115687091""","""B09TVFHM1F""",https://www.walmart.com/ip/115687091?selected=true,https://www.amazon.com/dp/B09TVFHM1F?psc=1&th=1&vs=1,Incorrect Match,In WM_(solid Jean) & in Comp_(elastic Jean),Style,Clothing,Kids Clothing,Boys Clothing
"""115687091""","""B09TVBQ4HB""",https://www.walmart.com/ip/115687091?selected=true,https://www.amazon.com/dp/B09TVBQ4HB?psc=1&th=1&vs=1,Incorrect Match,In WM_(Joggers Jean) & in Comp_(Slim Denim Jean),Model,Clothing,Kids Clothing,Boys Clothing
"""40120072""","""B000KBDFTW""",https://www.walmart.com/ip/40120072?selected=true,https://www.amazon.com/dp/B000KBDFTW?psc=1&th=1&vs=1,Incorrect Match,Others_(chain model different wm:Criss Cross Amz:Collar Necklace),Model,Jewelry,Womens Jewelry & Watches,Womens Jewelry
"""40120078""","""B0BV79YHHM""",https://www.walmart.com/ip/40120078?selected=true,https://www.amazon.com/dp/B0BV79YHHM?psc=1&th=1&vs=1,Not Sure,Info not sufficient in competitor page,Gram,Jewelry,Womens Jewelry & Watches,Womens Jewelry
"""40120078""","""B0BV7D4889""",https://www.walmart.com/ip/40120078?selected=true,https://www.amazon.com/dp/B0BV7D4889?psc=1&th=1&vs=1,Not Sure,Info not sufficient in competitor page,Metal Weight|Model,Jewelry,Womens Jewelry & Watches,Womens Jewelry
"""40120078""","""B0BTTX1JJF""",https://www.walmart.com/ip/40120078?selected=true,https://www.amazon.com/dp/B0BTTX1JJF?psc=1&th=1&vs=1,Not Sure,Info not sufficient in competitor page,Model,Jewelry,Womens Jewelry & Watches,Womens Jewelry
"""40120078""","""B0BXCPKXXD""",https://www.walmart.com/ip/40120078?selected=true,https://www.amazon.com/dp/B0BXCPKXXD?psc=1&th=1&vs=1,Not Sure,Info not sufficient in competitor page,Model,Jewelry,Womens Jewelry & Watches,Womens Jewelry
"""40120079""","""B004VF62TI""",https://www.walmart.com/ip/40120079?selected=true,https://www.amazon.com/dp/B004VF62TI?psc=1&th=1&vs=1,Incorrect Match,(Chain Station Necklace)_is different in Both,Model,Jewelry,Womens Jewelry & Watches,Womens Jewelry
"""40120079""","""B005DJBT2Q""",https://www.walmart.com/ip/40120079?selected=true,https://www.amazon.com/dp/B005DJBT2Q?psc=1&th=1&vs=1,Incorrect Match,In WM_(20inches) & in Comp_(16inches),Design and Size,Jewelry,Womens Jewelry & Watches,Womens Jewelry
"""40120079""","""B005DJBVVU""",https://www.walmart.com/ip/40120079?selected=true,https://www.amazon.com/dp/B005DJBVVU?psc=1&th=1&vs=1,Incorrect Match,"In WM_(Length:20"") & in Comp_(Length:36"")",Others_(Chain Size),Jewelry,Womens Jewelry & Watches,Womens Jewelry
"""40120079""","""B005DJBXRM""",https://www.walmart.com/ip/40120079?selected=true,https://www.amazon.com/dp/B005DJBXRM?psc=1&th=1&vs=1,Incorrect Match,"Others_((035 Singapore Necklace & 1.4 mm Singapore-Chain Necklace,)_is different in Both)",Model,Jewelry,Womens Jewelry & Watches,Womens Jewelry
"""40120079""","""B005DJBXFO""",https://www.walmart.com/ip/40120079?selected=true,https://www.amazon.com/dp/B005DJBXFO?psc=1&th=1&vs=1,Incorrect Match,In WM_(20in) & in Comp_(18in),Design and Size,Jewelry,Womens Jewelry & Watches,Womens Jewelry
"""40120079""","""B005DJBRSC""",https://www.walmart.com/ip/40120079?selected=true,https://www.amazon.com/dp/B005DJBRSC?psc=1&th=1&vs=1,Incorrect Match,In WM_(Length:20) & in Comp_(Length:24),Others_(Chain Size),Jewelry,Womens Jewelry & Watches,Womens Jewelry
"""40120081""","""B0BV79YHHM""",https://www.walmart.com/ip/40120081?selected=true,https://www.amazon.com/dp/B0BV79YHHM?psc=1&th=1&vs=1,Not Sure,Info not sufficient in competitor page,Model,Jewelry,Womens Jewelry & Watches,Womens Jewelry
"""40120081""","""B0BV7D4889""",https://www.walmart.com/ip/40120081?selected=true,https://www.amazon.com/dp/B0BV7D4889?psc=1&th=1&vs=1,Not Sure,Info not sufficient in competitor page,Model,Jewelry,Womens Jewelry & Watches,Womens Jewelry
"""40120081""","""B0BTTX1JJF""",https://www.walmart.com/ip/40120081?selected=true,https://www.amazon.com/dp/B0BTTX1JJF?psc=1&th=1&vs=1,Not Sure,Info not sufficient in competitor page,Model,Jewelry,Womens Jewelry & Watches,Womens Jewelry
"""40120081""","""B0BXCPKXXD""",https://www.walmart.com/ip/40120081?selected=true,https://www.amazon.com/dp/B0BXCPKXXD?psc=1&th=1&vs=1,Not Sure,Info not sufficient in competitor page,Others_(Metal Weight),Jewelry,Womens Jewelry & Watches,Womens Jewelry
"""40120082""","""B004VF62TI""",https://www.walmart.com/ip/40120082?selected=true,https://www.amazon.com/dp/B004VF62TI?psc=1&th=1&vs=1,Incorrect Match,Others_(Necklace design),Design,Jewelry,Womens Jewelry & Watches,Womens Jewelry
"""40120082""","""B005DJBT2Q""",https://www.walmart.com/ip/40120082?selected=true,https://www.amazon.com/dp/B005DJBT2Q?psc=1&th=1&vs=1,Incorrect Match,Others_(035 Singapore Necklace & 1.4 mm Singapore-Chain Necklace),Model,Jewelry,Womens Jewelry & Watches,Womens Jewelry
"""40120082""","""B005DJBVVU""",https://www.walmart.com/ip/40120082?selected=true,https://www.amazon.com/dp/B005DJBVVU?psc=1&th=1&vs=1,Incorrect Match,In WM_(035 Singapore Necklace) & in Comp_(Italian 1.4 mm),Model,Jewelry,Womens Jewelry & Watches,Womens Jewelry
"""40120082""","""B005DJBXRM""",https://www.walmart.com/ip/40120082?selected=true,https://www.amazon.com/dp/B005DJBXRM?psc=1&th=1&vs=1,Incorrect Match,In WM_(spring ring model) & in Comp_(Chain Necklace),Model,Jewelry,Womens Jewelry & Watches,Womens Jewelry
"""40120082""","""B005DJBXFO""",https://www.walmart.com/ip/40120082?selected=true,https://www.amazon.com/dp/B005DJBXFO?psc=1&th=1&vs=1,Not Sure,Info not sufficient in Walmart page,Others_(size),Jewelry,Womens Jewelry & Watches,Womens Jewelry
"""40120082""","""B005DJBRSC""",https://www.walmart.com/ip/40120082?selected=true,https://www.amazon.com/dp/B005DJBRSC?psc=1&th=1&vs=1,Incorrect Match,Others_(Others_(Necklace design stripes model is different)),Model,Jewelry,Womens Jewelry & Watches,Womens Jewelry
"""56081383""","""B08GYX8NGD""",https://www.walmart.com/ip/56081383?selected=true,https://www.amazon.com/dp/B08GYX8NGD?psc=1&th=1&vs=1,Incorrect Match,(Lace waist model)_is different in Both,Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""56081383""","""B08GYX8H9X""",https://www.walmart.com/ip/56081383?selected=true,https://www.amazon.com/dp/B08GYX8H9X?psc=1&th=1&vs=1,Incorrect Match,In WM_(Signature Lace Thong) & in Comp_(Lace Thong Underwear),Design,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""56081383""","""B07CC1GHPS""",https://www.walmart.com/ip/56081383?selected=true,https://www.amazon.com/dp/B07CC1GHPS?psc=1&th=1&vs=1,Incorrect Match,(Lace Thong Underwear model)_is different in Both,Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""56081383""","""B07C329BH7""",https://www.walmart.com/ip/56081383?selected=true,https://www.amazon.com/dp/B07C329BH7?psc=1&th=1&vs=1,Incorrect Match,(Lace Thong)_is different in Both,Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""56081383""","""B07C3298K7""",https://www.walmart.com/ip/56081383?selected=true,https://www.amazon.com/dp/B07C3298K7?psc=1&th=1&vs=1,Incorrect Match,"Others_((Signature Lace Thong, & Lace Thong Underwear)_is different in Both)",Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""56081383""","""B07C2ZMLRT""",https://www.walmart.com/ip/56081383?selected=true,https://www.amazon.com/dp/B07C2ZMLRT?psc=1&th=1&vs=1,Incorrect Match,(Lace border)_is different in Both,Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""56081383""","""B07SRVGHWD""",https://www.walmart.com/ip/56081383?selected=true,https://www.amazon.com/dp/B07SRVGHWD?psc=1&th=1&vs=1,Incorrect Match,(Thong model is different in both)_is different in Both,Design and Color|Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""56081383""","""B0736SV4ML""",https://www.walmart.com/ip/56081383?selected=true,https://www.amazon.com/dp/B0736SV4ML?psc=1&th=1&vs=1,Incorrect Match,"Others_((Signature Lace Thong & Cotton and Lace Thong,)_is different in Both)",Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""56081383""","""B0777ZGXRY""",https://www.walmart.com/ip/56081383?selected=true,https://www.amazon.com/dp/B0777ZGXRY?psc=1&th=1&vs=1,Incorrect Match,(Lace border)_is different in Both,Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""56081384""","""B0913Z3R7H""",https://www.walmart.com/ip/56081384?selected=true,https://www.amazon.com/dp/B0913Z3R7H?psc=1&th=1&vs=1,Incorrect Match,Product attributes are same except Brand,Brand,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""56081384""","""B08GYX8NGD""",https://www.walmart.com/ip/56081384?selected=true,https://www.amazon.com/dp/B08GYX8NGD?psc=1&th=1&vs=1,Incorrect Match,Others_(( Signature Lace Thong & Lace Thong Underwear )_is different in Both),Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""56081384""","""B08GYX8H9X""",https://www.walmart.com/ip/56081384?selected=true,https://www.amazon.com/dp/B08GYX8H9X?psc=1&th=1&vs=1,Incorrect Match,(Lace Thong Elastic)_is different in Both,Design and Color|Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""56081384""","""B07CC1GHPS""",https://www.walmart.com/ip/56081384?selected=true,https://www.amazon.com/dp/B07CC1GHPS?psc=1&th=1&vs=1,Incorrect Match,(waist)_is different in Both,Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""56081384""","""B07C329BH7""",https://www.walmart.com/ip/56081384?selected=true,https://www.amazon.com/dp/B07C329BH7?psc=1&th=1&vs=1,Incorrect Match,"Others_((Signature Lace Thong, & Lace Thong Underwear_is different in Both)",Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""56081384""","""B07C3298K7""",https://www.walmart.com/ip/56081384?selected=true,https://www.amazon.com/dp/B07C3298K7?psc=1&th=1&vs=1,Incorrect Match,(Hip strap Model differ)_is different in Both,Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""56081384""","""B07C2ZMLRT""",https://www.walmart.com/ip/56081384?selected=true,https://www.amazon.com/dp/B07C2ZMLRT?psc=1&th=1&vs=1,Incorrect Match,Others_(Lace Thong modle),Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""56081384""","""B0777ZGXRY""",https://www.walmart.com/ip/56081384?selected=true,https://www.amazon.com/dp/B0777ZGXRY?psc=1&th=1&vs=1,Incorrect Match,In WM_(curved elastic design is different) & in Comp_(staright elastic model),Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""56081384""","""B0777W8XPP""",https://www.walmart.com/ip/56081384?selected=true,https://www.amazon.com/dp/B0777W8XPP?psc=1&th=1&vs=1,Incorrect Match,In WM_(elastic model) & in Comp_(Lace model),Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""56081384""","""B07SRVGHWD""",https://www.walmart.com/ip/56081384?selected=true,https://www.amazon.com/dp/B07SRVGHWD?psc=1&th=1&vs=1,Incorrect Match,(Lace model)_is different in Both,Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""101898014""","""B08TLXV7JC""",https://www.walmart.com/ip/101898014?selected=true,https://www.amazon.com/dp/B08TLXV7JC?psc=1&th=1&vs=1,Incorrect Match,In WM_(Little Lovely Leo design) & in Comp_(Plain),Design and Color,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""101898014""","""B08TMLFQY6""",https://www.walmart.com/ip/101898014?selected=true,https://www.amazon.com/dp/B08TMLFQY6?psc=1&th=1&vs=1,Incorrect Match,Others_(WM has printed design and Amz has plain design),Design,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""101898014""","""B08TM92G1S""",https://www.walmart.com/ip/101898014?selected=true,https://www.amazon.com/dp/B08TM92G1S?psc=1&th=1&vs=1,Incorrect Match,In WM_((Printed design)_is different in Both) & in Comp_((Plain design)_is different in Both),Design,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""101898014""","""B08TM8YV17""",https://www.walmart.com/ip/101898014?selected=true,https://www.amazon.com/dp/B08TM8YV17?psc=1&th=1&vs=1,Incorrect Match,In WM_(printed) & in Comp_(plain),Design,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""101898014""","""B08TM3Y6GR""",https://www.walmart.com/ip/101898014?selected=true,https://www.amazon.com/dp/B08TM3Y6GR?psc=1&th=1&vs=1,Incorrect Match,In WM_(Boyshort Panties with design) & in Comp_(Boyshort Panties without design),Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""101898014""","""B08TM268FL""",https://www.walmart.com/ip/101898014?selected=true,https://www.amazon.com/dp/B08TM268FL?psc=1&th=1&vs=1,Incorrect Match,(design and plain)_is different in Both,Design and Color,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""101898014""","""B08TLP2PZ9""",https://www.walmart.com/ip/101898014?selected=true,https://www.amazon.com/dp/B08TLP2PZ9?psc=1&th=1&vs=1,Incorrect Match,Others_(In WM_(Stretch) & in Comp_(Hipster or Boyshort)),Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""101898014""","""B08TLM4D86""",https://www.walmart.com/ip/101898014?selected=true,https://www.amazon.com/dp/B08TLM4D86?psc=1&th=1&vs=1,Incorrect Match,(Comfort Stretch Panties / Way Stretch Panty)_is different in Both,Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""102511470""","""B099XCH28P""",https://www.walmart.com/ip/102511470?selected=true,https://www.amazon.com/dp/B099XCH28P?psc=1&th=1&vs=1,Incorrect Match,In WM_(Seamless Brief Panties) & in Comp_(v-cut bikini bottom),Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""102511470""","""B09B4NVPGH""",https://www.walmart.com/ip/102511470?selected=true,https://www.amazon.com/dp/B09B4NVPGH?psc=1&th=1&vs=1,Incorrect Match,Others_((Seamless Hipster Panties & Hipster Underwear)_is different in Both),Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""102511470""","""B099XDY964""",https://www.walmart.com/ip/102511470?selected=true,https://www.amazon.com/dp/B099XDY964?psc=1&th=1&vs=1,Incorrect Match,Others_(In WM(elastic model) & in Comp_(Lace model)),Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
